ID	Project Name	Project Description	GitHub URL	Suspicious?
245559	pop	"An extensible iOS and OS X animation library, useful for physics-based interactions."	https://github.com/facebook/pop	
375315	awesome-electron	Useful resources for creating apps with Electron	https://github.com/sindresorhus/awesome-electron	
269585	awesome-swift	A collaborative list of awesome swift resources. Feel free to contribute!	https://github.com/matteocrippa/awesome-swift	
352499	NativeScript	Build truly native cross-platform iOS and Android apps with JavaScript	https://github.com/NativeScript/NativeScript	
231668	PhotoSwipe	PhotoSwipe is a HTML/CSS/JavaScript based image gallery specifically targeting mobile touch devices	https://github.com/dimsemenov/PhotoSwipe	
520591	BaseRecyclerViewAdapterHelper	"Abstraction for the usual RecyclerAdapte ""RecyclerAdapte.ViewHolder"" pattern"	https://github.com/CymChad/BaseRecyclerViewAdapterHelper	
703880	SmartRefreshLayout	An intelligent refresh layout	https://github.com/scwang90/SmartRefreshLayout	
505723	lighthouse		https://github.com/GoogleChrome/lighthouse	
132383	jadx	Dex to Java decompiler	https://github.com/skylot/jadx	
145834	picasso	A powerful image downloading and caching library for Android	https://github.com/square/picasso	
646454	lottie-ios		https://github.com/airbnb/lottie-ios	
784374	open-source-mac-os-apps	List of open source applications for macOS.	https://github.com/serhii-londar/open-source-mac-os-apps	
363726	fresco	An Android library for managing images and the memory they use.	https://github.com/facebook/fresco	
498752	vux	yet another vue adapter for weui	https://github.com/airyland/vux	
496228	iris	"A very minimal but flexible golang web application framework, providing a robust set of features for building single & multi-page, web applications."	https://github.com/kataras/iris	
308438	material-dialogs	Not even AppCompat uses Material theming for AlertDialogs for pre-Lollipop. This is a beautiful and easy solution.	https://github.com/afollestad/material-dialogs	
828195	taro	å__ç«¯å_€åè‘è§£å†_æ–_æ¡ˆ	https://github.com/NervJS/taro	
405873	RxSwift	Reactive Programming in Swift	https://github.com/ReactiveX/RxSwift	
535496	swift-algorithm-club	"Algorithms and data structures in Swift, with explanations!"	https://github.com/raywenderlich/swift-algorithm-club	
285614	keystone	node.js cms and web app framework	https://github.com/keystonejs/keystone	
554927	my-mac-os	ï£¿ a list of applications and various miscellaneous that make macOS experience even more amazing 	https://github.com/nikitavoloboev/my-mac-os	
37	angular-seed	Seed project for angular apps. 	https://github.com/angular/angular-seed	
261057	SwiftGuide	è¿™ä»_æŒ‡åç—æ±‡é›†äº†Swiftè¯_è¨€ä¸»æµÅå__ä_ èµ„æºêï_Œå_¶ä»¥å_€åè‘è€…ç_„è§†è§’æ•´çê†ç_–æ_’ã€‚http://dev.swiftguide.cn 	https://github.com/ipader/SwiftGuide	
192894	js-xlsx	XLSX / XLSM / XLSB / XLS / SpreadsheetML (Excel Spreadsheet) / ODS parser and writer	https://github.com/SheetJS/js-xlsx	
5	cocos2d-x	cocos2d-x for C++	https://github.com/cocos2d/cocos2d-x	
544449	mint-ui	Mobile UI elements for vue.js	https://github.com/ElemeFE/mint-ui	
692669	awesome-flutter	"A curated list of awesome Flutter frameworks, libraries, and software"	https://github.com/Solido/awesome-flutter	
372005	SnapKit	A Swift Autolayout DSL for iOS & OS X	https://github.com/SnapKit/SnapKit	
368282	Kingfisher	A lightweight and pure Swift implemented library for downloading and caching image from the web.	https://github.com/onevcat/Kingfisher	
2539	fmdb	A Cocoa / Objective-C wrapper around SQLite	https://github.com/ccgus/fmdb	
532433	flexbox-layout	Flexbox for Android 	https://github.com/google/flexbox-layout	
7799	PhotoView		https://github.com/chrisbanes/PhotoView	
592725	tinker	"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk."	https://github.com/Tencent/tinker	
249345	odoo	Odoo (formerly OpenERP). Open Source Apps To Grow Your Business.	https://github.com/odoo/odoo	
271171	realm-cocoa	Realm is a mobile database: a replacement for Core Data & SQLite	https://github.com/realm/realm-cocoa	
35036	libgdx	Desktop/Android/HTML5/iOS Java game development framework	https://github.com/libgdx/libgdx	
341283	Spring	A library to simplify iOS animations in Swift.	https://github.com/MengTo/Spring	
244594	rclone	"Sync files to and from Google Drive, S3, Swift, Cloudfiles, Dropbox and Google Cloud Storage"	https://github.com/ncw/rclone	
116501	dagger	A fast dependency injector for Android and Java.	https://github.com/google/dagger	
310516	Carthage	"A simple, decentralized dependency manager for Cocoa"	https://github.com/Carthage/Carthage	
450300	plaid		https://github.com/nickbutcher/plaid	
159905	backbone	"Give your JS App some Backbone with Models, Views, Collections, and Events"	https://github.com/jashkenas/backbone	
516545	Charts	Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.	https://github.com/danielgindi/Charts	
457372	Perfect	"Server-side Swift. The Perfect library, application server, connectors and example apps. (For mobile back-end development, website and web app development, and more...)"	https://github.com/PerfectlySoft/Perfect	
31063	fastclick	Polyfill to remove click delays on browsers with touch UIs	https://github.com/ftlabs/fastclick	
657142	AR.js	Efficient Augmented Reality for the Web using ARToolKit - 60fps on mobile!	https://github.com/jeromeetienne/AR.js	
423614	react-native-web	React Native for Web: A framework for building Native Web Apps	https://github.com/necolas/react-native-web	
263610	ExoPlayer	An extensible media player for Android	https://github.com/google/ExoPlayer	
174541	IQKeyboardManager	Codeless drop-in universal library allows to prevent issues of keyboard sliding up and cover UITextField/UITextView. Neither need to write any code nor any setup required and much more.	https://github.com/hackiftekhar/IQKeyboardManager	
1231	jquery-mobile	jQuery Mobile Framework	https://github.com/jquery/jquery-mobile	
461602	anko	Pleasant Android application development	https://github.com/Kotlin/anko	
190844	Telegram	Telegram for Android source	https://github.com/DrKLO/Telegram	
582755	egg	A web framework's framework for Node.js.	https://github.com/eggjs/egg	
639053	create-react-native-app		https://github.com/react-community/create-react-native-app	
697433	android-architecture-components		https://github.com/googlesamples/android-architecture-components	
570072	vapor	A web framework and server for Swift that works on macOS and Ubuntu.	https://github.com/vapor/vapor	
631902	redux-saga	An alternative side effect model for Redux apps	https://github.com/redux-saga/redux-saga	
1438	CocoaPods	An Objective-C library dependency manager.	https://github.com/CocoaPods/CocoaPods	
522960	NativeBase	The missing piece of React Native	https://github.com/GeekyAnts/NativeBase	
282768	mui	æœ€æ_¥è¿‘å_Ÿç”ŸAPPä_“éªŒç_„é«˜æ€§èƒ_æ¡†æ_¶	https://github.com/dcloudio/mui	
230552	chartist-js	Simple responsive charts	https://github.com/gionkunz/chartist-js	
319791	framework	The aurelia framework brings together all the required core aurelia libraries into a ready-to-go application-building platform.	https://github.com/aurelia/framework	
214433	CircleImageView	A circular ImageView for Android	https://github.com/hdodenhof/CircleImageView	
2306	WordPress	"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to http://core.trac.wordpress.org/ instead."	https://github.com/WordPress/WordPress	
200841	CocoaLumberjack	"A fast & simple, yet powerful & flexible logging framework for Mac and iOS"	https://github.com/CocoaLumberjack/CocoaLumberjack	
384867	SwiftLint	A tool to enforce Swift style and conventions.	https://github.com/realm/SwiftLint	
317574	homebridge	HomeKit support for the impatient	https://github.com/nfarina/homebridge	
356884	android-UniversalMusicPlayer	"This sample shows how to implement an audio media app that works across multiple form factors and provide a consistent user experience on Android phones, tablets, Auto, Wear and Cast devices"	https://github.com/googlesamples/android-UniversalMusicPlayer	
348378	stetho	"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more."	https://github.com/facebook/stetho	
238422	PromiseKit	Promises for iOS and OS X	https://github.com/mxcl/PromiseKit	
816573	scrcpy	Display and control your Android device	https://github.com/Genymobile/scrcpy	
180	RestKit	RestKit is a framework for consuming and modeling RESTful web resources on iOS and OS X	https://github.com/RestKit/RestKit	
292975	realm-java	Realm is a mobile database: a replacement for SQLite & ORMs	https://github.com/realm/realm-java	
384048	react-native-vector-icons	"3000 Customizable Icons for React Native with support for NavBar/TabBar, image source and full stying."	https://github.com/oblador/react-native-vector-icons	
677030	react-native-elements	React Native Elements UI Toolkit	https://github.com/react-native-training/react-native-elements	
13318	greenDAO	greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.	https://github.com/greenrobot/greenDAO	
341223	MaterialDrawer	"The flexible, easy to use, all in one drawer library for your Android project."	https://github.com/mikepenz/MaterialDrawer	
175087	feathers	Build real-time apps faster than ever with our flexible JavaScript framework.	https://github.com/feathersjs/feathers	
274360	FLEX	An in-app debugging and exploration tool for iOS	https://github.com/Flipboard/FLEX	
537927	react-native-guide	React NativeæŒ‡åç—æ±‡é›†äº†åê„ç±»react-nativeå__ä_ èµ„æºêã€Åå_€æºêAppå’Œç»„ä»¶	https://github.com/reactnativecn/react-native-guide	
740397	CodeHub	CodeHub is an iOS application written using Xamarin	https://github.com/CodeHubApp/CodeHub	
508190	react-native-navigation	Created by talkol	https://github.com/wix/react-native-navigation	
462929	swift-evolution	This maintains proposals for changes and user-visible enhancements to the Swift Programming Language.	https://github.com/apple/swift-evolution	
314256	animated-tab-bar	RAMAnimatedTabBarController is a Swift module for adding animation to tabbar items. 	https://github.com/Ramotion/animated-tab-bar	
300416	lazysizes	"High performance and SEO friendly lazy loader for images (responsive and normal), iframes and more, that detects any visibility changes triggered through user interaction, CSS or JavaScript without configuration."	https://github.com/aFarkas/lazysizes	
600281	IGListKit	A data-driven UICollectionView framework for building fast and flexible lists.	https://github.com/Instagram/IGListKit	
394635	infer	"A static analyzer for Java, C and Objective-C"	https://github.com/facebook/infer	
475559	react-slingshot	"React + Redux starter kit with Babel, hot reloading, testing, linting and a working example app, all built in"	https://github.com/coryhouse/react-slingshot	
486096	Material	A beautiful graphics framework for Material Design in Swift.	https://github.com/CosmicMind/Material	
266496	swift-style-guide	The official Swift style guide for raywenderlich.com.	https://github.com/raywenderlich/swift-style-guide	
517730	ignite	The ideal starting app for React Native	https://github.com/infinitered/ignite	
3828	CocoaAsyncSocket	Asynchronous socket networking library for Mac and iOS	https://github.com/robbiehanson/CocoaAsyncSocket	
435451	Eureka	Elegant iOS form builder in Swift 2	https://github.com/xmartlabs/Eureka	
403985	Moya	Network abstraction layer written in Swift.	https://github.com/Moya/Moya	
732275	VasSonic	"VasSonic is a lightweight and high-performance Hybrid framework developed by tencent VAS team, which is intended to speed up the first screen of websites working on Android and iOS platform. "	https://github.com/Tencent/VasSonic	
276961	gun	"A realtime, decentralized, offline-first, graph database engine."	https://github.com/amark/gun	
256060	FlappySwift	swift implementation of flappy bird. More at fullstackedu.com	https://github.com/fullstackio/FlappySwift	
565432	Luban	Luban(é_Åçè_)â€”â€”åè¯èƒ_æ˜¯æœ€æ_¥è¿‘å_®ä¿¡æœ‹åè‹åœˆç_„å›_ç‰‡å_‹ç_©ç®—æ_•	https://github.com/Curzibn/Luban	
270633	react-intl	React Components for internationalization.	https://github.com/yahoo/react-intl	
505453	spectre	"Spectre, a lightweight and clean CSS framework for faster and extendable development."	https://github.com/picturepan2/spectre	
2521	kivy	"Open source UI framework written in Python, running on Windows, Linux, OS X, Android and iOS"	https://github.com/kivy/kivy	
756457	tailwindcss	A utility-first CSS framework for rapid UI development.	https://github.com/tailwindcss/tailwindcss	
467747	botkit	Botkit is a toolkit for making bot applications	https://github.com/howdyai/botkit	
660168	vlayout	"Project vlayout is a powerfull LayoutManager extension for RecyclerView, it provides a group of layouts for RecyclerView. Make it able to handle a complicate situation when grid, list and other layouts in the same recyclerview. "	https://github.com/alibaba/vlayout	
471769	folding-cell	FoldingCell is an expanding content cell inspired by folding paper material	https://github.com/Ramotion/folding-cell	
575526	react-dates	"An accessible, easily internationalizable, mobile-friendly datepicker library for the web"	https://github.com/airbnb/react-dates	
322561	TimLiu-iOS	è‡ªå·±æ€»ç»“ç_„iOSã€Åmacå_€æºêé¡_ç›®åè_åº“ï_ŒæŒÅç»_æ›´æ–°ã€‚ã€‚ã€‚ã€‚	https://github.com/Tim9Liu9/TimLiu-iOS	
702481	ionic	Build amazing native and progressive web apps with Angular and open web technologies. One app running on everything ????	https://github.com/ionic-team/ionic	
